#,Headline (EN),Body (EN),Headline (ES),Body (ES),Theme,App Feature
1,KNOWLEDGE IS PROTECTION,"ICE needs a JUDICIAL warrant signed by a judge to enter your home. An administrative warrant is NOT enough. Know the difference — it could save your family.",CONOCIMIENTO ES PROTECCIÓN,"ICE necesita una orden JUDICIAL firmada por un juez para entrar a tu hogar. Una orden administrativa NO es suficiente. Conoce la diferencia — podría salvar a tu familia.",Knowledge Is Protection,Rights Card / Know Your Rights
2,YOUR SILENCE IS YOUR SHIELD,"You have the 5th Amendment right to remain silent. Say: ""I am exercising my right to remain silent."" You don't have to answer questions about your immigration status.",TU SILENCIO ES TU ESCUDO,"Tienes el derecho de la 5ta Enmienda a permanecer en silencio. Di: ""Estoy ejerciendo mi derecho a permanecer en silencio."" No tienes que responder preguntas sobre tu estatus migratorio.",Knowledge Is Protection,Legal / Constitutional Rights
3,DON'T OPEN THAT DOOR,"If ICE knocks, speak through the door or window. Ask: ""Do you have a judicial warrant signed by a judge?"" Do NOT open the door without one.",NO ABRAS ESA PUERTA,"Si ICE toca tu puerta, habla a través de la puerta o ventana. Pregunta: ""¿Tiene una orden judicial firmada por un juez?"" NO abras la puerta sin una.",Knowledge Is Protection,Scenarios / ICE at Door
4,BE A GUARDIAN,"Your presence as a witness protects your neighbors. Research shows agents follow procedure more carefully when being documented. Stand steady. Record from a safe distance.",SÉ UN GUARDIÁN,"Tu presencia como testigo protege a tus vecinos. Las investigaciones muestran que los agentes siguen los procedimientos más cuidadosamente cuando están siendo documentados. Mantente firme. Graba desde una distancia segura.",Be A Guardian,Community Witnessing
5,CALM IN CHAOS,"Breathe: Inhale 5 seconds. Hold 4 seconds. Exhale 5 seconds. Two cycles can reduce panic and help you think clearly during any encounter.",CALMA EN EL CAOS,"Respira: Inhala 5 segundos. Sostén 4 segundos. Exhala 5 segundos. Dos ciclos pueden reducir el pánico y ayudarte a pensar con claridad durante cualquier encuentro.",Calm In Chaos,De-Escalation / Breathing
6,COMMUNITY IS OUR ARMOR,"Set up a neighborhood signal system. When ICE is spotted, alert trusted contacts instantly. One text can mobilize an entire community of witnesses.",LA COMUNIDAD ES NUESTRA ARMADURA,"Establece un sistema de señales con tus vecinos. Cuando se detecte a ICE, alerta a contactos de confianza al instante. Un mensaje puede movilizar a toda una comunidad de testigos.",Community Is Our Armor,Trusted Contacts / Proximity Alert
7,PRIVACY IS A RIGHT,"Your recordings are protected with AES-256 encryption and PIN lock. Even if your phone is seized, your evidence stays secure. Back up to the cloud as insurance.",LA PRIVACIDAD ES UN DERECHO,"Tus grabaciones están protegidas con encriptación AES-256 y bloqueo por PIN. Incluso si confiscan tu teléfono, tu evidencia permanece segura. Respalda en la nube como seguro.",Privacy Is A Right,Record / Vault / Encryption
8,PREPARED NOT POWERLESS,"Create a family emergency plan today: a code word to signal danger, a meeting place if separated, and a go-bag with cash, meds, and key documents.",PREPARADO NO INDEFENSO,"Crea un plan familiar de emergencia hoy: una palabra clave para señalar peligro, un punto de encuentro si se separan, y una bolsa de emergencia con efectivo, medicinas y documentos clave.",Prepared Not Powerless,Family Kit
9,YOUR CAMERA IS YOUR WITNESS,"Recording law enforcement in public is protected by the 1st Amendment — regardless of your immigration status. Your phone is your most powerful legal tool.",TU CÁMARA ES TU TESTIGO,"Grabar a las fuerzas del orden en público está protegido por la 1ra Enmienda — sin importar tu estatus migratorio. Tu teléfono es tu herramienta legal más poderosa.",Knowledge Is Protection,Record / Rights
10,NEVER SIGN WITHOUT A LAWYER,"Form I-275 (Voluntary Departure) waives your right to a hearing and can bar re-entry for years. NEVER sign any document without an attorney reviewing it first.",NUNCA FIRMES SIN UN ABOGADO,"El Formulario I-275 (Salida Voluntaria) renuncia a tu derecho a una audiencia y puede prohibir tu reingreso por años. NUNCA firmes ningún documento sin que un abogado lo revise primero.",Knowledge Is Protection,Legal / Rights Card
11,EVERY WORKER HAS RIGHTS,"Minimum wage, overtime, safe workplace, workers' comp — these are federal protections that apply to ALL workers regardless of immigration status.",TODO TRABAJADOR TIENE DERECHOS,"Salario mínimo, horas extras, lugar de trabajo seguro, compensación laboral — estas son protecciones federales que aplican a TODOS los trabajadores sin importar su estatus migratorio.",Knowledge Is Protection,Legal / Worker Rights
12,CAPTURE THE NAME,"If someone is detained, the MOST critical thing you can do: get their full name. That's how family and attorneys locate them through the ICE Detainee Locator.",CAPTURA EL NOMBRE,"Si alguien es detenido, lo MÁS importante que puedes hacer: obtener su nombre completo. Así es como la familia y los abogados los localizan a través del Localizador de Detenidos de ICE.",Be A Guardian,Community Witnessing
13,STAY CALM STAY STRONG,"During a workplace raid: Do NOT run. Stay at your workstation. You have the right to remain silent. Ask: ""Am I free to leave?"" If yes, walk away calmly.",MANTÉN LA CALMA MANTÉN LA FUERZA,"Durante una redada laboral: NO corras. Quédate en tu puesto de trabajo. Tienes derecho a permanecer en silencio. Pregunta: ""¿Soy libre de irme?"" Si es así, retírate con calma.",Calm In Chaos,Scenarios / Workplace
14,THREE WORDS THAT PROTECT YOU,"""I do not consent."" These words invoke your 4th Amendment right against unreasonable searches. Say them clearly and calmly if asked to allow a search.",TRES PALABRAS QUE TE PROTEGEN,"""No doy mi consentimiento."" Estas palabras invocan tu derecho de la 4ta Enmienda contra registros irrazonables. Dilas clara y calmadamente si te piden permitir un registro.",Knowledge Is Protection,Rights Card / De-Escalation
